_id,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9eb"")",1996-06-13T00:00:00.000,0.488,0,0,200,18.63,5.32,0.23,0,0,14,0.152,7.46,7.4,124,6.69,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ec"")",1932-06-29T00:00:00.000,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0.85,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ed"")",1997-06-26T00:00:00.000,0.556,0,0,0,23.05,3.96,0.292,0,0,7,0.163,7.25,7.22,77,4.37,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ee"")",1937-09-07T00:00:00.000,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,2.64,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ef"")",1988-06-15T00:00:00.000,0,2.6,0,22000,23.3,0,0,0,0,0,0,7.16,7.08,260,3.9,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f0"")",1963-09-11T00:00:00.000,0,0,0,1100,29.75,0,0,0,0,0,0,0,0,0,1.7,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f1"")",1957-08-14T00:00:00.000,0,0,0,240,25.2,0,0,0,0,0,0,0,0,0,1.9,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f2"")",1956-08-01T00:00:00.000,0,0,0,93,19.6,0,0,0,0,0,0,0,0,0,4.2,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f3"")",1966-09-14T00:00:00.000,0,0,0,490,23.1,0,0,0,0,0,0,0,0,0,2.5,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f4"")",1963-07-30T00:00:00.000,0,0,0,93,29.4,0,0,0,0,0,0,0,0,0,1.6,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
